TDB_past_J2000 sc_2_earth_LVLH_1 sc_2_earth_LVLH_2 sc_2_earth_LVLH_3
922756641.18565 39988472.1693145 87834088.0968104 -7794359.68493185
922756651.18565 39914736.5878643 87834098.0159965 -8163288.91945576
922756661.18565 39837612.9154611 87834108.7007305 -8531440.92576762
922756671.18565 39757110.0229386 87834120.150093 -8898784.46661549
922756681.18565 39673237.0711426 87834132.3629642 -9265288.41684575
922756691.18565 39586003.5092531 87834145.3379097 -9630921.76754386
922756701.18565 39495419.0732277 87834159.0732728 -9995653.62745128
922756711.18565 39401493.7841642 87834173.5671852 -10359453.2255241
922756721.18565 39304237.9465346 87834188.8174368 -10722289.9150335
922756731.18565 39203662.1465867 87834204.8216087 -11084133.1745793
922756741.18565 39099777.2505744 87834221.5770126 -11444952.6113771
922756751.18565 38992594.4029961 87834239.0806429 -11804717.9641909
922756761.18565 38882125.0248435 87834257.3292143 -12163399.1054516
922756771.18565 38768380.8118651 87834276.319243 -12520966.0429994
922756781.18565 38651373.7326517 87834296.0468745 -12877388.9241228
922756791.18565 38531116.0268736 87834316.5080011 -13232638.0368947
922756801.18565 38407620.2033644 87834337.6981636 -13586683.8134215
922756811.18565 38280899.0383271 87834359.612674 -13939496.8311599
922756821.18565 38150965.5733974 87834382.2465612 -14291047.8157785
922756831.18565 38017833.1136967 87834405.5945027 -14641307.6439874
922756841.18565 37881515.225875 87834429.6507997 -14990247.3459826
922756851.18565 37742025.7362962 87834454.4096091 -15337838.1059884
922756861.18565 37599378.7288739 87834479.8646093 -15684051.2669683
922756871.18565 37453588.5432719 87834506.0093389 -16028858.3304002
922756881.18565 37304669.7726636 87834532.8367867 -16372230.9613286
922756891.18565 37152637.2619611 87834560.339848 -16714140.98739
922756901.18565 36997506.1055683 87834588.5109522 -17054560.4034666
922756911.18565 36839291.6454209 87834617.3422406 -17393461.3725866
922756921.18565 36678009.4689138 87834646.8255869 -17730816.2279218
922756931.18565 36513675.4067615 87834676.9524745 -18066597.475568
922756941.18565 36346305.5308702 87834707.7140107 -18400777.7965072
922756951.18565 36175916.1523434 87834739.1010994 -18733330.0475248
922756961.18565 36002523.8191927 87834771.104198 -19064227.2646568
922756971.18565 35826145.3142973 87834803.713493 -19393442.6640772
922756981.18565 35646797.6531554 87834836.9187659 -19720949.644795
922756991.18565 35464498.0818577 87834870.7096369 -20046721.7891721
922757001.18565 35279264.0746618 87834905.0751413 -20370732.8670998
922757011.18565 35091113.3320344 87834940.0041899 -20692956.8353506
922757021.18565 34900063.7782845 87834975.4852495 -21013367.8410634
922757031.18565 34706133.5593849 87835011.5064661 -21331940.2228899
922757041.18565 34509341.0408107 87835048.0557498 -21648648.5122867
922757051.18565 34309704.8051343 87835085.1205337 -21963467.4364842
922757061.18565 34107243.6498803 87835122.6879208 -22276371.9193731
922757071.18565 33901976.5853462 87835160.7448641 -22587337.0823415
922757081.18565 33693922.8321621 87835199.2778925 -22896338.2472686
922757091.18565 33483101.8190365 87835238.2730922 -23203350.938122
922757101.18565 33269533.1805369 87835277.7162766 -23508350.8817662
922757111.18565 33053236.7548647 87835317.5931537 -23811314.0088088
922757121.18565 32834232.5812775 87835357.8887418 -24112216.4576836
922757131.18565 32612540.8981244 87835398.5881028 -24411034.572932
922757141.18565 32388182.1402288 87835439.6757385 -24707744.9093083
922757151.18565 32161176.9367742 87835481.1359771 -25002324.2315144
